code, english name,repair group, shop, car, part group 
amortyzator_double, "Double Wishbone Shock Absorber", 0, "Suspension/MainShop", 1
amortyzator_double_rear, "Double Wishbone Shock Absorber Rear", 0, "Suspension/MainShop", 1
amortyzator_pneumatyczny_przod_1, "Front Air Suspension Shock A", 3, "Suspension/MainShop", 1
amortyzator_pneumatyczny_tyl_1, "Rear Air Suspension Shock", 3, "Suspension/MainShop", 1
amortyzatorPrzod_1, "Front Shock Absorber A", 0, "Suspension/MainShop", 1
amortyzatorPrzod_2, "Front Shock Absorber B", 0, "Suspension/MainShop", 1
amortyzatorTyl_1, "Rear Shock Absorber A", 0, "Suspension/MainShop", 1
amortyzatorTyl_2, "Rear Shock Absorber B", 0, "Suspension/MainShop", 1
bak_1, "Fuel Tank", 0, "Engine/MainShop", 2
bak_2, "Fuel Tank B", 0, "Engine/MainShop", 2
bak_2_1, "Fuel Tank C", 0, "Engine/MainShop", 2
chlodnica_1, "Radiator A", 3, "Engine/MainShop", 0
chlodnica_2, "Radiator C", 3, "Engine/MainShop", 0
czapkaAmorPrzod_1, "Front Shock Absorber Cap", 0, "Suspension/MainShop", 1
czapkaSprezynyTyl_1, "Rear Shock Absorber Cap", 0, "Suspension/MainShop", 1
docisk_sprzegla, "Clutch Pressure Plate", 0, "Gearbox/MainShop", 2
drazekKierowniczy_1, "Inner Tie Rod", 0, "Suspension/MainShop", 1
filtr_1, "Air Filter", 0, "Engine/MainShop", 0
filtr_1x4_dol, "Round Air Filter Base (1 carb)", 1, "Engine/MainShop", 0
filtr_1x4_gora, "Round Air Filter Cover (1 carb)", 1, "Engine/MainShop", 0
filtr_1x4_srodek, "Round Air Filter (1 carb)", 0, "Engine/MainShop", 0
filtr_2x4_dol, "Round Air Filter Base (2 carb)", 1, "Engine/MainShop", 0
filtr_2x4_gora, "Round Air Filter Cover (2 carb)", 1, "Engine/MainShop", 0
filtr_2x4_srodek, "Round Air Filter (2 carb)", 0, "Engine/MainShop", 0
klips_1, "Clip A", 1, "Engine/MainShop", 0
klips_2, "Clip B", 1, "Engine/MainShop", 0
klockiHamulcowe_1, "Brake Pads", 0, "Brakes/MainShop", 1
koncowkaDrazkaKier_1, "Outer Tie Rod", 0, "Suspension/MainShop", 1
lacznikPolosi_1, "Front Drive Shaft", 2, "Suspension/MainShop", 1
lacznikPolosi_2, "Front Drive Shaft (4x4)", 2, "Suspension/MainShop", 1
lacznikStabilizatora_double, "Sway Bar Front End Link B", 0, "Suspension/MainShop", 1
lacznikStabilizatoraPrzod_1, "Sway Bar Front End Link A", 0, "Suspension/MainShop", 1
lacznikStabTyl_1, "Sway Bar Rear End Link", 0, "Suspension/MainShop", 1
listwa_wtryskowa, "Fuel Rail DI", 4, "Engine/MainShop", 0
listwa_wtryskowa_2, "Fuel Rail MPI", 4, "Engine/MainShop", 0
lozyskoDociskowe_1, "Clutch Release Bearing", 0, "Gearbox/MainShop", 2
lozyskoZwrotnicyPrzod_1, "Wheel Hub Bearing", 0, "Suspension/MainShop", 1
mostTylny_1, "Leaf-Spring Rear Drive Axle", 1, "Suspension/MainShop", 2
mostTylnySztywny_1, "Coil-Spring Rear Drive Axle", 1, "Suspension/MainShop", 2
obejmaPodstawka_1, "Leaf Spring Plate", 1, "Suspension/MainShop", 2
obejmaPret_1, "Leaf Spring U-Bolt", 1, "Suspension/MainShop", 2
obudowaFiltra_dol_1, "Air Filter Base", 1, "Engine/MainShop", 0
obudowaFiltra_gora_1, "Air Filter Cover", 1, "Engine/MainShop", 0
piastaPrzod_1, "Front Wheel Hub", 2, "Suspension/MainShop", 1
piastaTyl_1, "Rear Wheel Hub", 2, "Suspension/MainShop", 1
pioraTyl_1, "Leaf Spring", 3, "Suspension/MainShop", 2
podstawkaSprezynyTyl_1, "Spring Cap", 2, "Suspension/MainShop", 1
pokrywa_lozyska, "Crankshaft Bearing Cap", 1, "Engine/MainShop", 2
pokrywaBeben_1, "Brake Drum", 0, "Brakes/MainShop", 1
polosNapedowa_1, "Front Drive Axle A", 2, "Suspension/MainShop", 1
polosNapedowa_2, "Front Drive Axle B", 2, "Suspension/MainShop", 1
polosNapedowa_3, "Rear Drive Axle", 2, "Suspension/MainShop", 1
polosNapedowa_4, "Front Drive Axle C", 2, "Suspension/MainShop", 1
polosNapedowa_5, "Front Drive Axle H", 2, "Suspension/MainShop", 1
polosNapedowaTylna_1, "Solid Rear Drive Axle", 2, "Suspension/MainShop", 1
polosNapedowaTylna_3, "Rear Drive Axle C", 2, "Suspension/MainShop", 1
pompa_1, "Fuel Pump", 3, "Engine/MainShop", 3
pompa_wspomagania, "Power Steering Pump (V8)", 3, "Engine/MainShop", 0
przekladnia_1, "Steering Rack", 4, "Suspension/MainShop", 2
r4_blok, "Engine Block (I4)", 4, "Engine/MainShop", 0
r4_filtr_oleju, "Oil Filter (I4)", 0, "Engine/MainShop", 2
r4_gearbox_4x4, "Gearbox (I4 4x4)", 4, "Gearbox/MainShop", 2
r4_gearbox_rwd, "Gearbox (I4 RWD)", 4, "Gearbox/MainShop", 2
r4_gearbox_short, "Gearbox (I4)", 4, "Gearbox/MainShop", 2
r4_glowica_2, "Engine Head (I4)", 4, "Engine/MainShop", 0
r4_glowica_sohc_1, "Engine Head (I4 SOHC)", 4, "Engine/MainShop", 0
r4_glowica_sohc_wkladka_1, "Camshaft Cap", 0, "Engine/MainShop", 0
r4_kolektor_dolotowy3, "Intake Manifold (I4 DI)", 3, "Engine/MainShop", 0
r4_kolektor_dolotowy4, "Intake Manifold (I4 MPI)", 3, "Engine/MainShop", 0
r4_kolektor_wydechowy, "Exhaust Manifold", 2, "Engine/MainShop", 0
r4_kolektor_wydechowy_oslona, "Exhaust Manifold Cover", 2, "Engine/MainShop", 0
